sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.0,3,A3,0.03801468504967988,0.03096854175378109,0.0704614329589879,0.8544734211736708,1.1287576532017392,0.0
0.0,4,A3,0.045206871193867244,0.037817888136335236,0.07388983057532009,0.841897566559247,1.1992640557392054,0.0
0.0,5,A3,0.030289559772719958,0.023470110760336158,0.06819449012383802,0.9054466094612641,1.1241197272552743,0.0
0.0,6,A3,0.023810174574152843,0.01779253967329837,0.060176349008544704,0.9542310233549819,1.1160722865234585,0.0
0.0,7,A3,0.031513360639247354,0.024990205049962296,0.0652315558928506,0.9051577657441011,1.061041774275832,0.0
0.0,8,A3,0.021970613002196424,0.015535020334591434,0.06435592667604989,0.9706337473345537,1.1164052584537163,0.0
0.0,9,A3,0.04318637638292485,0.03570438825043353,0.07481988132491318,0.8223406159749886,1.1651221058999095,0.0
0.0,10,A3,0.043312869955663594,0.0358598967982782,0.07452973157385394,0.8334576845309122,1.1782472126615442,0.0
0.0,11,A3,0.03261420859154268,0.02554060763647391,0.0707360095506877,0.9005842724009098,1.1159567766872387,0.0
0.0,12,A3,0.022040953868108906,0.01591253781465398,0.06128416053454926,0.9346463082121049,1.0888384429506306,0.0
0.0,13,A3,0.04208820669432716,0.034717985683027135,0.07370221011300027,0.8569958623889922,1.156464547695783,0.0
0.0,14,A3,0.04118131673161454,0.0333118037613194,0.07869512970295142,0.854719063603176,1.107656764996027,0.0
0.0,15,A3,0.05050005964676228,0.0428502784622038,0.07649781184558478,0.8196916244837634,1.1921232285350079,0.0
0.0,16,A3,0.03200698182367748,0.025141980812027377,0.06865001011650097,0.9119664221181373,1.1187596468083454,0.0
0.0,17,A3,0.04049043025547483,0.033488151757290356,0.0700227849818447,0.845797163978949,1.094736177277578,0.0
0.0,18,A3,0.04295766062665513,0.035381491790102054,0.07576168836553081,0.8492023461983214,1.119947378921476,0.0
0.0,19,A3,0.03445132916888454,0.027303588018612785,0.07147741150271755,0.908302034457185,1.1454158207383962,0.0
0.0,20,A3,0.047505328526119904,0.04012005367100972,0.0738527485511018,0.8162375023892258,1.1519512774342366,0.0
0.0,21,A3,0.0322816101130182,0.02529656839864275,0.06985041714375452,0.9135415387052267,1.1644318116971637,0.0
0.0,22,A3,0.03326192038874498,0.026774548646802707,0.06487371741942272,0.9028936153420821,1.1300293275967834,0.0
0.0,23,A3,0.022884581154985276,0.016943399186436895,0.059411819685483785,0.9392926904720028,1.123577031745228,0.0
0.0,24,A3,0.035601840298045986,0.028481855557269106,0.07119984740776876,0.8860711488783631,1.114098266304773,0.0
